,MS_Water_daily,sum_up_3_diff,S5_daily,ISWR_h_daily,mean_lwc_3_diff,mean_lwc_2_diff,water_1_diff,RH_daily,prop_up,MS_Rain_daily,Qs_daily,TSS_mod_daily,max_depth_wet_layer,prop_wet_2_diff,max_lwc,MS_Evap_daily,TA_daily,water_2_diff,prop_wet,HN24_daily,S5,TSS_mod,HN72_24_daily,MS_Sublimation_daily,ISWR_diff_daily,pAlbedo,prop_wet_3_diff,depth_max_lwc_2,HS_3_diff,HS_1_diff,zSd,HS_2_diff,water_3_diff,water,HN24,mean_lwc,ILWR,Qg0_daily,ILWR_daily,elevation,Qs,TA,LWR_net,Qw_daily,pAlbedo_daily,HS,sum_up,station_code,aspect,profile_time,datum,probability_wet_AvD_model_2001_2022
0,0.0,-0.11043533930857875,0.0,101.00487500000001,-0.11043533930857875,-0.025997150997150997,0.0,94.0625,0.0,0.0,16.042625,-14.0625,0.0,-0.25997150997151,0.0,0.0,-8.6375,-0.365,0.0,3.890375,0.0,-8.4,34.658249999999995,0.0018750000000000001,39.430625,0.9,-0.49423815620998723,33.879999999999995,19.68,-6.020000000000003,19.468,21.259999999999998,-1.725,0.0,0.0,0.0,185.748,2.445875,179.307,2536.0,2.9589999999999996,-7.0,-90.98100000000001,10.879875,0.8977500000000002,35.3,0.0,WFJ2,,2021-11-05 15:00:00,2021-11-05,0.002
0,0.03625,0.08727145741708851,0.0037500000000000003,171.982125,0.027634476339655642,0.05363162733680664,1.7500000000000007,37.67499999999999,0.6194174757281554,0.05,24.487250000000003,-13.25,7.930000000000003,0.29328838492185116,0.2,-0.000625,-3.0250000000000004,1.7500000000000007,0.29328838492185116,0.0,0.018000000000000002,0.0,31.473624999999995,0.000375,25.28125,0.735,0.03331687495034119,6.060000000000002,18.590000000000003,-2.6699999999999946,32.629,-8.689999999999998,1.3850000000000007,1.7500000000000007,0.0,0.05363162733680664,192.888,2.3483750000000003,178.02349999999998,2536.0,2.5340000000000003,3.2,-120.31700000000001,34.732125,0.8300000000000001,32.63,0.11326860841423951,WFJ2,,2021-11-06 15:00:00,2021-11-06,0.03
0,0.10400000000000001,0.322808056872038,0.011375,187.553,0.17859718125204857,0.17859718125204857,3.6990000000000016,16.9375,0.5355450236966826,0.05,29.971500000000002,-10.862499999999999,7.560000000000002,0.2962962962962964,1.5,-0.0016250000000000001,0.6875,5.4490000000000025,0.2962962962962964,0.0,0.057999999999999996,0.0,3.890375,-0.000875,27.570375,0.748,0.2962962962962964,0.0,-10.809999999999999,-2.120000000000001,30.511999999999997,-4.789999999999996,5.4490000000000025,5.4490000000000025,0.0,0.17859718125204857,190.11700000000002,2.265375,180.207625,2536.0,9.258,3.9,-123.03299999999999,47.803,0.770875,30.51,0.322808056872038,WFJ2,,2021-11-07 15:00:00,2021-11-07,0.084
0,0.0,0.0,0.0,170.34412500000002,0.0,-0.05363162733680664,-5.4490000000000025,57.93750000000001,0.0,0.0,19.817875,-13.9625,0.0,-0.29328838492185116,0.0,0.0,-3.2500000000000004,-1.7500000000000007,0.0,0.0,0.0,-10.9,0.0,0.000625,25.040625,0.769,0.0,27.96,-6.089999999999996,-1.3000000000000007,29.213,-3.4200000000000017,0.0,0.0,0.0,0.0,210.322,2.675625,192.197875,2536.0,8.621,0.0,-56.731,38.469125,0.798,29.21,0.0,WFJ2,,2021-11-08 15:00:00,2021-11-08,0.015
0,0.01825,-0.008179549890066501,0.002125,173.85162499999998,0.004578379710409704,-0.12038717420483222,1.6519999999999997,27.8,0.3784987277353689,0.0,38.167125,-10.538124999999999,7.259999999999998,-0.08664160989742398,0.3,0.0,2.1875,-3.797000000000003,0.20965468639887241,0.0,0.017,-4.705,0.0,-0.0001250000000000001,25.556125,0.7440000000000001,-0.08363369852297875,5.689999999999998,-4.2500000000000036,-0.8300000000000018,28.38,-2.1300000000000026,-0.09800000000000098,1.6519999999999997,0.0,0.05821000704721634,220.516,3.705,195.28775000000002,2536.0,9.572000000000001,7.4,-72.471,45.226625,0.7769999999999999,28.38,0.10508905852417301,WFJ2,,2021-11-09 15:00:00,2021-11-09,0.012
0,1.404,2.3944802794216264,0.17325000000000002,145.75150000000002,1.5043877839111344,1.682984965163183,44.242999999999995,74.0125,0.7554766133806986,0.0,17.57125,-3.2075,10.719999999999999,0.4679134580124679,7.2,0.000125,2.8249999999999997,45.894999999999996,0.4679134580124679,0.0,0.56,0.0,0.0,0.0017499999999999998,30.544375,0.7709999999999999,0.17161716171617153,0.0,-3.240000000000002,-1.1099999999999994,27.265,-1.9400000000000013,40.44599999999999,45.894999999999996,0.0,1.682984965163183,251.03599999999997,1.6166249999999998,233.44275000000002,2536.0,4.177,6.6,-63.331,29.7515,0.8118750000000001,27.27,2.7172883362936644,WFJ2,,2021-11-10 15:00:00,2021-11-10,0.375
0,0.606125,1.8845667299177737,0.077875,144.061625,1.1494984567901236,1.0912884497429074,-16.099999999999987,75.63749999999999,0.7482605945604048,0.0,18.266125000000002,-3.6125000000000003,9.870000000000001,0.24674963458878196,5.2,0.0,3.1125,28.143000000000008,0.4564043209876544,0.0,0.384,0.0,0.0,0.0025000000000000005,21.177125,0.773,0.4564043209876544,0.0,-3.289999999999999,-1.3499999999999979,25.918000000000003,-2.4599999999999973,29.79500000000001,29.79500000000001,0.0,1.1494984567901236,246.107,0.771875,235.606625,2536.0,0.53,5.6,-68.161,33.061625,0.7989999999999999,25.92,1.8845667299177737,WFJ2,,2021-11-11 15:00:00,2021-11-11,0.246
0,0.684625,2.194132731359096,0.09012500000000001,147.44662499999998,1.3409218003718844,-0.2838531577440824,5.658999999999999,67.05,0.7483787289234759,0.0,9.979,-4.762499999999999,9.64,-0.012506986031410317,6.6,-0.000125,4.1000000000000005,-10.440999999999988,0.4554064719810576,0.0,0.465,0.0,0.0,0.0011250000000000001,22.126749999999998,0.741,0.2457517855821852,0.0,-3.039999999999999,-0.5800000000000018,25.339000000000002,-1.9299999999999997,33.80200000000001,35.45400000000001,0.0,1.3991318074191006,251.91,1.8698750000000002,236.9215,2536.0,0.018000000000000002,8.1,-62.474,37.571625,0.778875,25.34,2.299221789883269,WFJ2,,2021-11-12 15:00:00,2021-11-12,0.145
0,0.0016250000000000001,-1.035932423651722,0.00025,85.66125,-0.5743155619596543,-0.3303413885692367,-7.766000000000003,82.675,0.0,0.0,11.91975,-5.278125,0.0,-0.3816647487533564,0.0,0.0,0.3374999999999999,-8.612000000000002,0.0,2.7352499999999997,0.002,-0.525,2.7352499999999997,0.001375,39.082375,0.8,-0.30583573487031707,22.43,-2.7200000000000024,-0.4400000000000013,25.043000000000003,-1.0300000000000011,-15.943000000000005,0.0,0.0,0.0,232.115,1.982125,222.76074999999997,2536.0,2.468,2.6,-79.502,17.41125,0.8255000000000001,25.04,0.0,WFJ2,,2021-11-13 12:00:00,2021-11-13,0.063
0,0.0,-1.8845667299177737,0.0,71.719,-1.1494984567901236,-1.3991318074191006,0.0,98.13749999999999,0.0,0.0,9.414625000000001,-5.3,0.0,-0.4554064719810576,0.0,0.0,-3.1750000000000003,-35.45400000000001,0.0,22.770625000000003,0.0,-7.3,25.506,0.0018750000000000001,40.391749999999995,0.883,-0.4564043209876544,46.0,22.64,23.580000000000002,20.442,23.220000000000002,-29.79500000000001,0.0,24.3,0.0,217.898,0.7335,208.816375,2536.0,12.741,-1.3,-64.039,7.593999999999999,0.8978750000000001,48.56,0.0,WFJ2,,2021-11-14 15:00:00,2021-11-14,0.122
