avalanche_id,location,trigger_date_time,trigger_date_time_accuracy_code,trigger_type,avalanche_type,avalanche_size,avalanche_moisture,start_zone_aspect,snow_depth_sat,lat,lon,Avalanche Event,closest_station,station_abbr,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0,elevation,gradient_x,gradient_y,gradient_magnitude,aspect
1bae5ef4-62c9-4601-861f-8e5b286b94b1,8.422604 46.780389,2023-04-13 07:30:00+02:00,2,EXPLOSIVE,SLAB,2,DRY,N,163,46.780389,8.422604,0,TIT,TIT,-13.5,-13.7,-13.0,,,100.0,2.2,-13.5,683.5,,1001.1,2915.8,,10.2,306.0,5.7,20.5,36.7,9.9,35.6,,,,,127.0,,,,,,0.019,761.2346801757812,793.65234375,-2353.60107421875,2483.8120016022795,198.63450110654304
1bae5ef4-62c9-4601-861f-8e5b286b94b1,8.422604 46.780389,2023-04-13 07:30:00.000 +0200,2,EXPLOSIVE,SLAB,2,DRY,N,163,46.780389,8.422604,1,TIT,TIT,-13.5,-13.7,-13.0,,,100.0,2.2,-13.5,683.5,,1001.1,2915.8,,10.2,306.0,5.7,20.5,36.7,9.9,35.6,,,,,127.0,,,,,,0.019,761.2346801757812,793.65234375,-2353.60107421875,2483.8120016022795,198.63450110654304
d68cc42c-2801-4238-bb58-3d963f2ab1ea,8.380899 46.782267,2023-04-05 07:00:00+02:00,4,EXPLOSIVE,SLAB,3,DRY,N,105,46.782267,8.380899,0,TIT,TIT,-14.1,-14.2,-14.0,,,28.1,0.6,-28.6,689.6,,1009.4,2984.0,,7.6,6.0,2.7,9.7,27.4,7.1,25.6,,,,,253.0,,,,,,0.059,740.3651733398438,2322.18017578125,308.7158203125,2342.6109848847414,277.5726253123122
be39a3d6-d2cf-47e2-870e-49c1b9134b29,8.422461 46.779843,2023-05-19 07:00:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,N,81,46.779843,8.422461,0,TIT,TIT,-2.9,-3.2,-2.4,,,86.1,4.2,-4.9,697.8,,1020.6,3072.9,,10.4,165.0,6.6,23.8,37.4,10.0,36.0,,,,,261.0,,,,,,0.076,760.8377075195312,-135.46142578125,-1545.99609375,1551.91936638633,174.99248631940367
f9b59268-33ad-4905-91cd-ccc9a1ae40a4,8.385942 46.778812,2023-04-15 08:30:00+02:00,2,EXPLOSIVE,LOOSE_SNOW,2,DRY,NE,126,46.778812,8.385942,0,TIT,TIT,-8.8,-8.9,-8.7,,,97.5,3.1,-9.1,685.0,,1003.2,2929.3,,13.4,306.0,10.3,37.1,48.2,12.9,46.4,,,,,285.0,,,,,,0.043,738.9261474609375,1856.9091796875,715.4296875,1989.9626477308693,291.07066856438576
f7fca170-d124-11ed-9f3d-c1122c0370be,8.243319 46.765333,2023-04-01 12:00:00.000 +0200,10,NATURAL,SLAB,3,WET,SW,82,46.765333,8.243319,1,MER,MER,9.8,8.5,10.7,15.5,11.8,65.6,7.9,3.6,940.8,1009.5,1009.4,,,4.8,117.0,2.7,9.7,17.3,4.7,16.9,0.0,,0.0,,762.0,,,,455.0,26.0,0.354,670.1203002929688,321.8994140625,3.18603515625,321.9151807445522,270.56707281621993
49e457f5-5bb7-4272-bb56-c1782a243205,8.423263 46.779484,2023-04-16 08:00:00.000 +0200,4,EXPLOSIVE,SLAB,3,DRY,N,179,46.779484,8.423263,1,TIT,TIT,-9.5,-9.6,-9.3,,,94.1,2.8,-10.3,692.7,,1013.7,3017.0,,7.6,16.0,3.6,13.0,27.4,7.1,25.6,,,,,249.0,,,,,,0.057,762.3836059570312,804.96826171875,-2790.41748046875,2904.204472429597,196.09157727397564
1851a448-559e-4572-8066-2824a030e41d,8.385872 46.778947,2023-04-13 07:30:00.000 +0200,2,EXPLOSIVE,LOOSE_SNOW,1,DRY,NE,107,46.778947,8.385872,1,TIT,TIT,-13.5,-13.7,-13.0,,,100.0,2.2,-13.5,683.5,,1001.1,2915.8,,10.2,306.0,5.7,20.5,36.7,9.9,35.6,,,,,127.0,,,,,,0.019,738.9261474609375,1856.9091796875,715.4296875,1989.9626477308693,291.07066856438576
dda75b80-ddc2-11ed-b3b1-431b3c02902e,8.263291 46.74286,2023-04-17 14:30:00.000 +0200,1,SNOW_GROOMER,SLAB,3,DRY,SE,127,46.74286,8.263291,1,MER,MER,11.6,11.1,12.1,14.3,13.0,57.1,7.8,3.4,948.8,1017.6,1017.9,,,13.4,336.0,6.0,21.6,48.2,13.2,47.5,0.0,,0.0,,451.0,,,,342.0,10.0,0.264,686.8361206054688,-379.248046875,-98.6572265625,391.8702966690722,104.58167844827773
4067dd0b-f3b4-40af-8872-12824f7b55a6,8.423024 46.779666,2023-04-03 07:00:00+02:00,4,EXPLOSIVE,SLAB,3,DRY,NE,119,46.779666,8.423024,0,TIT,TIT,-11.1,-11.4,-10.6,,,93.9,2.5,-11.9,692.7,,1013.6,3017.2,,10.4,32.0,6.3,22.7,37.4,9.9,35.6,,,,,76.0,,,,,,0.018,761.8928833007812,656.43310546875,-2499.49951171875,2584.260480492943,194.71504785369478
