avalanche_id,location,trigger_date_time,trigger_date_time_accuracy_code,trigger_type,avalanche_type,avalanche_size,avalanche_moisture,start_zone_aspect,snow_depth_sat,lat,lon,Avalanche Event,elevation,slope,aspect
b2b22272-2994-46f8-ba69-aa77d0ffdafa,8.420101 46.781175,2023-04-28 00:00:00+02:00,6,NATURAL,SLAB,2,DRY,N,140,46.76374824182528,8.407614302893691,0,,,
8d0101b0-de65-11ed-ad4d-6fea2397c693,7.846102 46.562407,2023-04-18 12:00:00.000 +0200,7,NATURAL,FULL_DEPTH,2,WET,S,120,46.562407,7.846102,1,,,
fdfaf590-ea4c-11ed-8348-fb5788bd30bc,8.001152 46.577404,2023-05-01 12:00:00.000 +0200,7,NATURAL,SLAB,2,DRY,NW,192,46.577404,8.001152,1,,,
10ab716e-5fe3-4dac-9343-2f5c3d5e2a92,8.244594 46.61198,2023-05-10 12:00:00+02:00,7,NATURAL,SLAB,4,WET,NW,157,46.59020849081712,8.258619470297708,0,,,
b6bd2020-dd0b-11ed-8f1e-7bb69ddca4ec,8.237321 46.747742,2023-04-16 12:00:00.000 +0200,7,NATURAL,SLAB,2,DRY,N,90,46.747742,8.237321,1,,,
367958a0-d439-11ed-a920-a702e6e7f311,8.242864 46.759718,2023-04-05 15:00:00+02:00,2,NATURAL,FULL_DEPTH,1,WET,S,49,46.773641083592096,8.279664409145292,0,,,
4b5d9a70-d15e-11ed-94cc-21edfa2a74e3,8.233716 46.754659,2023-04-02 15:30:00+02:00,1,NATURAL,FULL_DEPTH,2,WET,S,116,46.7723524461488,8.24644635694518,0,,,
1aca9480-d131-11ed-bb43-5ff35461761d,8.354817 46.766741,2023-04-03 12:00:00+02:00,10,NATURAL,SLAB,3,DRY,NW,0,46.73863616760249,8.377286890808191,0,,,
10ab716e-5fe3-4dac-9343-2f5c3d5e2a92,8.244594 46.61198,2023-05-11 12:00:00+02:00,7,NATURAL,SLAB,4,WET,NW,59,46.60474384195697,8.281506346848165,0,,,
367958a0-d439-11ed-a920-a702e6e7f311,8.242864 46.759718,2023-04-05 15:00:00+02:00,2,NATURAL,FULL_DEPTH,1,WET,S,33,46.759613825716,8.247645818592959,0,,,
8cc2e1b0-ecd3-11ed-8adc-7d70564ee41a,8.023437 46.573593,2023-05-07 12:00:00+02:00,10,NATURAL,SLAB,4,WET,,0,46.60268641008256,8.019744616025415,0,,,
564bddb0-e717-11ed-acf0-f7b342f82229,7.822357 46.529218,2023-05-01 12:00:00+02:00,7,NATURAL,SLAB,3,UNKNOWN,N,80,46.53924506022109,7.829628239375103,0,,,
8b5b35b0-dd0c-11ed-8f1e-7bb69ddca4ec,8.229566 46.753026,2023-04-18 12:30:00+02:00,0,NATURAL,FULL_DEPTH,2,WET,SE,111,46.77616630060779,8.262157366666747,0,,,
fdfaf590-ea4c-11ed-8348-fb5788bd30bc,8.001152 46.577404,2023-05-04 12:00:00+02:00,7,NATURAL,SLAB,2,DRY,NW,268,46.5440437024119,7.956865837257248,0,,,
50374fe0-d439-11ed-a920-a702e6e7f311,8.245848 46.760908,2023-04-07 16:00:00+02:00,2,NATURAL,FULL_DEPTH,1,WET,SW,0,46.747891870729156,8.202572360554429,0,,,
